,nose,leftShoulder,rightShoulder,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.30905713107592714,0.2901037549758056,0.28175133488375415,0.2855378738389495,0.2833931232073502,0.28818007582855093,0.28904072543807346,0.2727607544006302,0.27520976084024207
1,0.31074240105792195,0.2844501899675357,0.28381701814609206,0.2877952995438662,0.2853171802837704,0.2879300639971638,0.28751507034498475,0.27541769042267084,0.2740861775385992
2,0.3111222572366483,0.2833605325714639,0.2857375962201669,0.2880703946315333,0.2888539958249233,0.28772473790617376,0.28849546292559614,0.2774634451355187,0.27495776779277215
3,0.3122446368456145,0.28324755647683314,0.28681427643828067,0.28313173326962643,0.2863588405232745,0.2874110702923908,0.2915695236265303,0.2799637646396881,0.27611079797302107
4,0.3124336447705818,0.2844442307412197,0.2868610369613553,0.2857809824252526,0.2857083102541625,0.2884260099458782,0.28659158416984165,0.2778358356102035,0.2787955763885933
5,0.3126354933868914,0.28531203473038697,0.2871713510244407,0.2925264979484683,0.28447026897696914,0.2876547123270509,0.2851732284362082,0.2772121832246325,0.27495405320795213
6,0.31377822470549593,0.28531880544239774,0.2839764254836738,0.28720823132075646,0.28413428816923064,0.2879694413461028,0.28583097691649806,0.2778418057304522,0.27534907776606016
7,0.31157805672579847,0.28520199438422184,0.2816702965216405,0.2857652479299384,0.2808495632447497,0.28568326012310685,0.2822035092189016,0.2751703132927954,0.271496185910153
8,0.31165868770927585,0.2855610038702102,0.28187855006287305,0.2838439727389075,0.2799707841805539,0.2812577616296953,0.2810842137101192,0.2720875428249482,0.27112505987578467
9,0.3121074666645671,0.2859475614187305,0.2822793827128119,0.28469967532223694,0.27965232450685856,0.2821712981707091,0.2817189614863224,0.2726942301021011,0.27204112147888104
10,0.3133630753309217,0.284480959554168,0.28168124361285535,0.28377710746160695,0.28003683093625464,0.28179652982789366,0.27567819272322885,0.2725114583686498,0.27219367956572044
11,0.3136481120618232,0.28754938763162974,0.2839685946714901,0.28143192383259413,0.278395861287122,0.2771602349678984,0.28073413434168315,0.27328342237496345,0.2727763879247645
12,0.31606321586729785,0.28693690928766924,0.2833421442485026,0.2809301838935184,0.2742492914806628,0.2834983955634615,0.27980282775494075,0.2696734698086269,0.27423064323863855
13,0.316160226956815,0.2874088182325494,0.28309122205328296,0.2781580659311414,0.2720628386271233,0.28001256803972574,0.28209422384781313,0.2748601692813851,0.27059344403460106
14,0.3160034385742544,0.2945785200658985,0.2829068689886308,0.27683274784024214,0.27052488228374993,0.28006694026147055,0.27925226233603695,0.27338388016161935,0.2742701552412247
15,0.31580667983798844,0.2954384499083733,0.29035167256444905,0.27633211790969253,0.2690363504951788,0.27762533694888164,0.28165997015111205,0.2722699787520873,0.26925855469547794
16,0.3169118811326963,0.2954288521292635,0.28544015332139344,0.275643524917853,0.26872273652506967,0.2784614366121088,0.27916917564899263,0.2688917036186211,0.27555262332022346
17,0.3152774972248689,0.2910067426029432,0.2847222862471102,0.2704324684769178,0.26898994724333514,0.2785189360763417,0.2797606493412562,0.2677612855798774,0.27526068390542185
18,0.31446412811540675,0.2879608069549234,0.28298462429417776,0.2779459216595086,0.26700626449925646,0.28194741185709893,0.2785649107384933,0.2669007108149253,0.2745280222042635
19,0.3131704752048753,0.28735546605613826,0.2845602892052815,0.26633957589171336,0.2645040627136725,0.2754931752654364,0.27955662816539023,0.26924535309661224,0.2741128750551192
20,0.31404337428097523,0.29211062194983195,0.283441050376349,0.27151816932909645,0.26415835870555593,0.2788153993079597,0.2844342373606883,0.26571254561910407,0.27378733033045205
